midi_note,note_name,event,velocity,delta,cumulative_time
67,G4,note_on,98,0,15104.88
76,E5,note_off,98,0.04370625,15148.59
67,G4,note_off,98,0.026223750000000004,15174.81
78,F#5,note_on,98,0.034965,15209.77
52,E3,note_on,98,0,15209.77
78,F#5,note_off,98,0.04370625,15253.48
52,E3,note_off,98,0.026223750000000004,15279.7
79,G5,note_on,98,0.034965,15314.67
52,E3,note_on,98,0,15314.67
79,G5,note_off,98,0.04370625,15358.38
52,E3,note_off,98,0.026223750000000004,15384.6
83,B5,note_on,98,0.034965,15419.56
64,E4,note_on,98,0,15419.56
83,B5,note_off,98,0.04370625,15463.27
64,E4,note_off,98,0.026223750000000004,15489.49
52,E3,note_on,98,0.034965,15524.46
52,E3,note_off,98,0.06993,15594.39
52,E3,note_on,98,0.034965,15629.35
52,E3,note_off,98,0.06993,15699.28
67,G4,note_on,98,0.034965,15734.25
67,G4,note_off,98,0.06993,15804.18
67,G4,note_on,98,0.034965,15839.14
67,G4,note_off,98,0.06993,15909.07
76,E5,note_on,98,0.034965,15944.04
52,E3,note_on,98,0,15944.04
76,E5,note_off,98,0.04370625,15987.75
52,E3,note_off,98,0.026223750000000004,16013.97
78,F#5,note_on,98,0.034965,16048.93
69,A4,note_on,98,0,16048.93
78,F#5,note_off,98,0.04370625,16092.64
69,A4,note_off,98,0.026223750000000004,16118.86
79,G5,note_on,98,0.034965,16153.83
50,D3,note_on,98,0,16153.83
79,G5,note_off,98,0.04370625,16197.54
50,D3,note_off,98,0.026223750000000004,16223.76
83,B5,note_on,98,0.034965,16258.72
50,D3,note_on,98,0,16258.72
83,B5,note_off,98,0.04370625,16302.43
50,D3,note_off,98,0.026223750000000004,16328.65
66,F#4,note_on,98,0.034965,16363.62
66,F#4,note_off,98,0.06993,16433.55
50,D3,note_on,98,0.034965,16468.51
50,D3,note_off,98,0.06993,16538.44
62,D4,note_on,98,0.034965,16573.41
62,D4,note_off,98,0.06993,16643.34
62,D4,note_on,98,0.034965,16678.3
62,D4,note_off,98,0.06993,16748.23
76,E5,note_on,98,0.034965,16783.2
64,E4,note_on,98,0,16783.2
76,E5,note_off,98,0.04370625,16826.91
